place,title,time,pay,date
경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급11,000",5시간전
부산 부산진,TGIF부산본점,시간협의,"시급11,000",7시간전
경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급11,000",7시간전
부산 부산진,TGIF부산본점,시간협의,"시급11,000",7시간전
경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급11,000",12시간전
부산 중구,TGIF광복점,시간협의,"시급11,000",13시간전
경기 용인시,TGIF롯데몰수지점,시간협의,"시급11,000",14시간전
경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급11,000",02/26
부산 전체,TGIF광복점,시간협의,"시급11,000",02/25
경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급11,000",02/24
경기 용인시,TGIF롯데몰수지점,시간협의,"시급11,000",02/24
서울 영등포,TGI FRIDAYS 영등포점,시간협의,"시급11,000",02/24
경기 용인시,TGIF롯데몰수지점,시간협의,"시급11,000",02/22
부산 중구,TGIF광복점,10:00~15:00,"시급11,000",02/18
서울 노원구,티지아이프라이데이 롯데백화점노원점,시간협의,"시급11,000",02/11
경기 안양시,T.G.I Fridays 평촌점,시간협의,"시급11,000",02/11
